Modification,Observed MS (Da),Theoretical MS (Da),Observed MS/MS (Da),Theoretical MS/MS (Da),Score (%),Detection time (s)
C,244.0941,244.0928,112.04988,112.050538,100,1443.21
m1G/m2G/m7G,298.1164,298.1146,166.07267,166.072336,100,1518.69
m3C/m4C/m5C,258.1098,258.1084,126.06614,126.066188,100,1522.86
m4Cm,272.1251,272.1241,126.06508,126.066188,100,1533.1
A,268.1066,268.104,136.06188,136.061772,100,1553.58
m1A/m2A/m6A/m8A,282.1214,282.1197,150.07795,150.077422,100,1561.7
A,268.1055,268.104,136.06166,136.061772,100,1586.05
m1A/m2A/m6A/m8A,282.1213,282.1197,150.07758,150.077422,100,1622.25
"m2,8A/m6,6A",296.1373,296.1353,164.0936,164.093072,100,1626.35
A,268.1057,268.104,136.06181,136.061772,100,1676.29
nm5U,274.105,274.1034,142.06102,142.061103,89.5,1755.36
A,268.1057,268.104,136.062,136.061772,100,1765.52
Q,410.1696,410.167,163.06169;295.10578,163.061437;295.103696,100,1771.74
Q,410.1758,410.167,295.11217,163.061437;295.103696,74.63,1848.83
A,268.1058,268.104,136.06204,136.061772,37.48,2275.19
m1G/m2G/m7G,298.1168,298.1146,166.07302,166.072336,100,2386
cmnm5Um,346.1267,346.1245,252.99893,271.092463;221.031874;253.058088;200.066582,55.05,2475.16
acp3U,346.1267,346.1245,214.08428,214.082232;197.055683;168.076753,100,2475.16
G,284.1032,284.0989,152.05852,152.056686,100,2634.31
G,284.1063,284.0989,152.0602,152.056686,100,2655.02
Gm,298.1163,298.1146,152.05687,152.056686,100,2759.02
A,268.1064,268.104,136.06093,136.061772,100,2783.01
G,284.101,284.0989,152.05729,152.056686,52.75,2881.95
G,284.1005,284.0989,152.05651,152.056686,32.75,2986.45
G,284.1006,284.0989,152.05687,152.056686,68.91,3158.77
A,268.1058,268.104,136.06235,136.061772,73.95,3420.95
G,284.1007,284.0989,152.05707,152.056686,70.94,4193.74
G,284.1006,284.0989,152.05685,152.056686,100,4287.2
A,268.1062,268.104,136.06184,136.061772,100,4422.87
G,284.1008,284.0989,152.05643,152.056686,53.32,4652.33
cmo5U,319.0725,319.0772,187.07018,187.034948;169.024383;141.029468,5.85,5239.41
G,284.1008,284.0989,152.05705,152.056686,100,5249.21
Y,245.0786,245.0768,179.04546;209.06085,209.055683;179.045119;155.045119,43.3,5249.35
U,245.0785,245.0768,113.03421,113.034554,100,5292.67
m3U/m5U,259.0939,259.0925,127.04975,127.050204,100,5310.65
m3Y,259.094,259.0925,169.06112,169.060769;179.045119;227.066248;209.055683,13.61,5314.75
U,245.0796,245.0768,113.03421,113.034554,100,5314.9
Y,245.0796,245.0768,155.0464;179.0447;209.05656,209.055683;179.045119;155.045119,2.23,5314.9
G,284.1009,284.0989,152.05627,152.056686,68.46,5415.1
