Modification,Observed MS (Da),Theoretical MS (Da),Observed MS/MS (Da),Theoretical MS/MS (Da),Score (%),Detection time (s)
C,244.0956,244.0928,112.0524,112.050538,100,681.694
m3C/m4C/m5C,258.1068,258.1084,126.06667,126.066188,100,687.069
Cm,258.1069,258.1084,112.0512,112.050538,35.83,689.754
m1A/m2A/m6A/m8A,282.118,282.1197,150.07841,150.077422,100,692.439
m1G/m2G/m7G,298.1121,298.1146,166.07251,166.072336,100,692.718
I,269.1057,269.088,137.06518,137.045787,77.85,697.812
A,268.1055,268.104,136.06356,136.061772,100,700.498
ac6A,310.1115,310.1146,178.07206,178.072336,100,703.742
hm5Cm,288.1165,288.119,142.06141,142.061103,25.55,708.835
"m2,8A/m6,6A",296.1325,296.1353,164.09298,164.093072,81.72,713.928
hm5C/nm5U,274.1009,274.1034,142.06128,142.061103,59.61,733.781
Q,410.1607,410.167,163.06136;295.10073,163.061437;295.103696,100,736.188
i6A,336.1628,336.1666,136.0619;204.12366,204.124372;136.061772,100,738.874
galQ/manQ,572.2074,572.2198,163.06142;295.10063,440.177589;163.061437;295.103696,100,765.741
hm6A,298.1116,298.1146,136.06187;268.10169,268.10403;136.061772,100,779.169
"m2,2G/m2,7G/preQ1",312.1279,312.1302,180.08844,180.087986,100,800.66
m1G/m2G/m7G,298.1133,298.1146,166.07362,166.072336,100,811.404
acp3D,348.1353,348.1401,216.09657,216.097882,65.8,817.055
acp3U,346.1204,346.1245,168.07645;197.055;214.08136,214.082232;197.055683;168.076753,100,822.149
acp3Y,346.1204,346.1245,214.08136,214.082232,100,822.149
ms2m6A,328.1101,328.1074,196.07094,196.065143,93.72,827.521
Gm,298.1121,298.1146,152.057,152.056686,100,846.323
cmnm5s2U,348.0814,348.086,216.04134;254.99316,255.043404;273.053969;141.01171;216.043739;237.03284;225.03284,100,932.847
ac4C,286.1009,286.1034,112.05112;154.06103,154.061103;112.050538,100,934.976
t6A,413.1353,413.1415,281.09673,281.099279,100,951.091
I,269.086,269.088,137.04597,137.045787,100,953.776
U,245.0754,245.0768,113.03529,113.034554,100,964.521
Y,245.0754,245.0768,155.04527;179.04479;209.05485,209.055683;179.045119;155.045119,34.39,964.521
Um,259.0907,259.0925,113.03507,113.034554,100,967.207
m3U/m5U,259.0907,259.0925,127.05057,127.050204,98.94,967.207
m1Y/m3Y,259.0907,259.0925,169.06065;179.04432;209.05482;227.06469,169.060769;179.045119;227.066248;209.055683,42.98,967.207
hn6A/m6t6A,427.1504,427.1572,295.11197,295.114929,100,978.232
