"Short Name","[M+H]+","Product ions"
"C","244.092797","112.050538"
"U","245.076813","113.034554"
"Y","245.076813","209.055683;179.045119;155.045119"
"D","247.092463","115.050204;97.039639"
"Cm","258.108447","112.050538"
"m5C","258.108447","126.066188"
"Um","259.092463","113.034554"
"m3U/m5U","259.092463","127.050204"
"Ym","259.092463","223.071333"
"m1Y","259.092463","169.060769;179.045119;227.066248;209.055683"
"s2C","260.069954","128.027695"
"s2U/s4U","261.053969","129.01171"
"A","268.10403","136.061772"
"I","269.088046","137.045787"
"m5Cm","272.124097","126.066188"
"m5s2U","275.069619","143.02736"
"s2Um","275.069619","129.01171"
"Am","282.11968","136.061772"
"m1A/m2A/m6A","282.11968","150.077422"
"m1I","283.103696","151.061437"
"cnm5U","284.087712","152.045453"
"G","284.098945","152.056686"
"ac4C","286.103362","154.061103;112.050538"
"m4,4Cm","286.139747","140.081838"
"m6,6A","296.135331","164.093072"
"m1Im","297.119346","151.061437"
"Gm","298.114595","152.056686"
"m1G/m2G/m7G","298.114595","166.072336"
"ac4Cm","300.119012","154.061103;112.050538"
"ncm5U","302.098276","170.056018;153.029468;125.034554"
"cm5U","303.082292","171.040033"
"mnm5s2U","304.096168","172.053910;255.043404;273.053969;141.011710"
"se2U","308.998463","176.956169"
"preQ0","308.098945","176.056686"
"ac6A","310.114595","178.072336"
"m2,2G","312.130245","180.087986"
"m1Gm/m2Gm","312.130245","166.072336"
"mcm5U","317.097942","185.055683;153.029468;125.034554"
"nchm5U","318.093191","186.050932;169.024383;141.029468"
"cm5s2U","319.059448","187.017190;169.006625;141.011710"
"chm5U","319.077206","187.034948;169.024383;141.029468"
"imG-14","322.114595","190.072336"
"G+","325.125494","193.083235"
"m2,2Gm/m2,7Gm","326.145895","180.087986"
"mchm5U","333.092857","183.016224;201.050598;297.071727"
"imG/imG2","336.130245","204.087986"
"acp3U","346.124491","214.082232;197.055683;168.076753"
"acp3Y","346.124491","214.082232"
"mnm5se2U","352.040672","219.998372"
"mimG","350.145895","218.103636"
"C+","356.204079","224.16182"
"t6A","413.141538","281.099279"
"yW-86","423.162274","291.120015"
"yW-72","437.177924","305.135665"
"ms2t6A","459.129259","327.087001"
"ms2hn6A","473.144909","341.102651"
"hn6A","427.157188","295.114929"
"mchm5Um","347.108507","201.050598"
