"Short Name","[M+H]+","Product ions"
"C","244,0933",112
"U","244.092797","112.050538"
"Y","245.076813","113.034554"
"D","245.076813","209.055683;179.045119;155.045119"
"Cm","247.092463","115.050204;97.039639"
"m3C/m4C/m5C","258.108447","112.050538"
"Um","258.108447","126.066188"
"m3U/m5U","259.092463","113.034554"
"Ym","259.092463","127.050204"
"m1Y","259.092463","223.071333"
"s2C","259.092463","169.060769;179.045119;227.066248;209.055683"
"s2U/s4U","260.069954","128.027695"
"ho5U","261.053969","129.01171"
"m5D","261.071727","129.029468"
"A","261.108113","129.065854"
"I","268.10403","136.061772"
"f5C","269.088046","137.045787"
"m5Cm","272.087712","140.045453"
"m4,4C","272.124097","126.066188"
"m3Um/m5Um","272.124097","140.081838"
"hm5C/nm5U","273.108113","127.050204"
"m5s2U","274.103362","142.061103"
"s2Um","275.069619","143.02736"
"Am","275.069619","129.01171"
"m1A/m2A/m6A","282.11968","136.061772"
"m1I","282.11968","150.077422"
"Im","283.103696","151.061437"
"cnm5U","283.103696","137.045787"
"G","284.087712","152.045453"
"ac4C","284.098945","152.056686"
"f5Cm","286.103362","154.061103;112.050538"
"m4,4Cm","286.103362","140.045453"
"mnm5U","286.139747","140.081838"
"hm5Cm","288.119012","156.076753;239.066248;257.076813;125.034554;209.055683"
"nm5s2U","288.119012","142.061103"
"f6A","290.080518","158.038259"
"m6,6A","296.098945","164.056686"
"m1Am/m6Am","296.135331","164.093072"
"m1Im","296.135331","150.077422"
"Gm","297.119346","151.061437"
"m1G/m2G/m7G","298.114595","152.056686"
"hm6A","298.114595","166.072336"
"ac4Cm","298.114595","268.104030;136.061772"
"ncm5U","300.119012","154.061103;112.050538"
"cm5U","302.098276","170.056018;153.029468;125.034554"
"mnm5s2U","303.082292","171.040033"
"se2U","304.096168","172.053910;255.043404;273.053969;141.011710"
"preQ0","308.998463","176.956169"
"ac6A","308.098945","176.056686"
"m6,6Am","310.114595","178.072336"
"m2,2G/m2,7G","310.150981","164.093072"
"m1Gm/m2Gm","312.130245","180.087986"
"ncm5Um","312.130245","166.072336"
"mcm5U","316.113926","170.056018;153.029468;125.034554"
"ncm5s2U","317.097942","185.055683;153.029468;125.034554"
"nchm5U","318.075433","186.033174;169.006625;141.011710"
"cm5s2U","318.093191","186.050932;169.024383;141.029468"
"chm5U","319.059448","187.017190;169.006625;141.011710"
"imG-14","319.077206","187.034948;169.024383;141.029468"
"G+","322.114595","190.072336"
"m2,2Gm/m2,7Gm","325.125494","193.083235"
"m2,2,7G","326.145895","180.087986"
"mcm5Um","326.145895","194.103636"
"cmnm5U","331.113592","185.055683"
"mcm5s2U","332.108841","239.066248;257.076813;209.055683;125.034554;200.066582;221.031874"
"mchm5U","333.075098","201.032840;169.006625;141.011710"
"imG/imG2","333.092857","183.016224;201.050598;297.071727"
"i6A","336.130245","204.087986"
"acp3U","336.166631","204.124372;136.061772"
"acp3Y","346.124491","214.082232;197.055683;168.076753"
"mchm5Um","346.124491","214.082232"
"cmnm5s2U","347.108507","201.050598"
"mnm5se2U","348.085998","255.043404;273.053969;141.011710;216.043739;237.032840;225.032840"
"mimG","352.040672","219.998372"
"io6A","350.145895","218.103636"
"C+","352.161545","220.119287"
"m1acp3Y","356.204079","224.16182"
"tm5U","360.140141","228.097882"
"ms2i6A","382.091477","250.049218"
"ct6A","382.154352","250.112093"
"tm5s2U","395.130973","263.088715"
"ms2io6A","398.068633","266.026375"
"Q","398.149266","266.107008"
"t6A","410.167025","163.061437;295.103696"
"yW-86","413.141538","281.099279"
"hn6A/m6t6A","423.162274","291.120015"
"ht6A","427.157188","295.114929"
"yW-72","429.136453","297.094194"
"ms2ct6A","437.177924","305.135665"
"yW-58","440.123446","308.081187"
"OHyWx","451.193574","319.151315"
"ms2t6A","453.172838","321.130579"
"OHyWy","459.129259","327.087001"
"ms2hn6A","467.188488","335.14623"
"yW","473.144909","341.102651"
"OHyW","509.199053","377.156794"
"o2yW","525.193968","393.151709"
"galQ/manQ","541.188882","409.146623"
"g6A","572.219848","440.177589;163.061437;295.103696"
"acp3D","369.115323","237.073065"
,"348.140141","216.097882"
