"Short Name","[M+H]+","Product ions"
"C","244.092797","112.050538"
"U","245.076813","113.034554"
"Y","245.076813","209.055683;179.045119;155.045119"
"D","247.092463","115.050204;97.039639"
"Cm","258.108447","112.050538"
"m3C/m4C/m5C","258.108447","126.066188"
"Um","259.092463","113.034554"
"m3U/m5U","259.092463","127.050204"
"m3Y","259.092463","169.060769;179.045119;227.066248;209.055683"
"s2C","260.069954","128.027695"
"ho5C","260.087712","128.045453"
"s2U/s4U","261.053969","129.01171"
"ho5U","261.071727","129.029468"
"A","268.10403","136.061772"
"I","269.088046","137.045787"
"m4Cm","272.124097","126.066188"
"m4,4C","272.124097","140.081838"
"nm5U","274.103362","142.061103"
"m5s2U","275.069619","143.02736"
"mo5U","275.087377","143.045119"
"Am","282.11968","136.061772"
"m1A/m2A/m6A/m8A","282.11968","150.077422"
"m1I","283.103696","151.061437"
"G","284.098945","152.056686"
"ac4C","286.103362","154.061103;112.050538"
"m4,4Cm","286.139747","140.081838"
"mnm5U","288.119012","156.076753;239.066248;257.076813;125.034554;209.055683"
"nm5s2U","290.080518","158.038259"
"m2,8A/m6,6A","296.135331","164.093072"
"Gm","298.114595","152.056686"
"m1G/m2G/m7G","298.114595","166.072336"
"mnm5s2U","304.096168","172.053910;255.043404;273.053969;141.011710"
"se2U","308.998463","176.956169"
"preQ0","308.098945","176.056686"
"ac6A","310.114595","178.072336"
"m2,2G/preQ1","312.130245","180.087986"
"cmo5U","319.077206","187.034948;169.024383;141.029468"
"ms2m6A","328.107402","196.065143"
"cmnm5U","332.108841","239.066248;257.076813;209.055683;125.034554;200.066582;221.031874"
"mcmo5U","333.092857","183.016224;201.050598;297.071727;315.082292;129.029468"
"i6A","336.166631","204.124372;136.061772"
"nm5se2U","338.025017","205.98272"
"inm5U","342.165962","210.123703"
"acp3U","346.124491","214.082232;197.055683;168.076753"
"cmnm5Um","346.124491","271.092463;221.031874;253.058088;200.066582"
"mcmo5Um","347.108507","183.016224;201.050598;297.071727;315.082292;129.029468"
"cmnm5s2U","348.085998","255.043404;273.053969;141.011710;216.043739;237.032840;225.032840"
"mnm5se2U","352.040672","219.998372"
"io6A","352.161545","220.119287"
"inm5Um","356.181612","210.123703"
"inm5s2U","358.143118","226.10086"
"k2C","372.18776","240.145501"
"ms2i6A","382.154352","250.112093"
"cmnm5se2U","396.030518","263.988214"
"ct6A","395.130973","263.088715"
"ges2U","397.17917","265.136911"
"ms2io6A","398.149266","266.107008"
"Q","410.167025","163.061437;295.103696"
"t6A","413.141538","281.099279"
"oQ","426.161939","163.061437;295.103696"
"nm5ges2U","426.205719","294.16346"
"hn6A/m6t6A","427.157188","295.114929"
"msms2i6A","428.142073","296.099814"
"ms2ct6A","440.123446","308.081187"
"mnm5ges2U","440.221369","308.17911"
"ms2t6A","459.129259","327.087001"
"ms2hn6A","473.144909","341.102651"
"cmnm5ges2U","484.211198","352.168939"
"gluQ","539.209618","407.167359"
