Short Name;[M+H]+;Product ions
C;244.0933;112
U;245.0773;113
Y;245.0773;209,179,155
D;247.093;115,97
Cm;258.109;112
m5C;258.109;126
Um;259.093;113
m3U/m5U;259.093;127
Ym;259.093;223
m1Y;259.093;169,179,227,209
s2C;260.0705;128
s2U/s4U;261.0545;129
A;268.1046;136
I;269.0886;137
m5Cm;272.1246;126
m5s2U;275.0701;143
s2Um;275.0701;129
Am;282.1202;136
m1A/m2A/m6A;282.1202;150
m1I;283.1042;151
cnm5U;284.0882;152
G;284.0995;152
ac4C;286.1039;154,112
m4,4Cm;286.1403;140
m6,6A;296.1359;164
m1Im;297.1199;151
Gm;298.1151;152
m1G/m2G/m7G;298.1151;166
ac4Cm;300.1195;154,112
ncm5U;302.0988;170,153,125
cm5U;303.0828;171
mnm5s2U;304.0967;172,255,273,141
se2U;306.9997;175
preQ0;308.0995;176
ac6A;310.1151;178
m2,2G;312.1308;180
m1Gm/m2Gm;312.1308;166
mcm5U;317.0985;185,153,125
nchm5U;318.0937;186,169,141
cm5s2U;319.06;187,169,141
chm5U;319.0777;187,169,141
imG-14;322.1151;190
G+;325.126;193
m2,2Gm/m2,7Gm;326.1464;180
mchm5U;333.0934;129,183,316,201,297
imG/imG2;336.1308;204
acp3U;346.125;214,197,168
acp3Y;346.125;214
mnm5se2U;350.0419;218
mimG;350.1464;218
C+;356.2046;224
t6A;413.1421;281
yW-86;423.1628;291
yW-72;437.1784;305
ms2t6A;459.1298;327
ms2hn6A;473.1454;341
hn6A;427.1577;295
mchm5Um;347.109;201
