Short Name;[M+H]+;Product ions
C;244.0933;112
U;245.0773;113
Y;245.0773;209,179,155
D;247.093;115,97
Cm;258.109;112
m3C/m5C;258.109;126
m5U;259.093;127
Um;259.093;113
Ym;259.093;223
m1Y;259.093;169,179,227,209
ho5C;260.0882;128
s2U;261.0545;129
m5D;261.1086;129
A;268.1046;136
I;269.0886;137
f5C;272.0882;140
m5Cm;272.1246;126
m3Um/m5Um;273.1086;127
hm5C/nm5U;274.1039;142
m5s2U;275.0701;143
s2Um;275.0701;129
m1A/m6A;282.1202;150
Am;282.1202;136
Im;283.1042;137
m1I;283.1042;151
cnm5U;284.0882;152
G;284.0995;152
f5Cm;286.1039;140
ac4C;286.1039;154,112
hm5Cm;288.1195;142
mnm5U;288.1195;156,239,257,125,209
nm5s2U;290.081;158
f6A;296.0995;164
m1Am/m6Am;296.1359;150
m6,6A;296.1359;164
m1Im;297.1199;151
m1G/m2G/m7G;298.1151;166
Gm;298.1151;152
hm6A;298.1151;268,136
ac4Cm;300.1195;154,112
ncm5U;302.0988;170,153,125
cm5U;303.0828;171
mnm5s2U;304.0967;172,255,273,141
ac6A;310.1151;178
m6,6Am;310.1515;164
m1Gm/m2Gm;312.1308;166
m2,2G/m2,7G;312.1308;180
ncm5Um;316.1144;170,153,125
mcm5U;317.0985;185,153,125
ncm5s2U;318.0759;186,169,141
nchm5U;318.0937;186,169,141
cm5s2U;319.06;187,169,141
chm5U;319.0777;187,169,141
imG-14;322.1151;190
G+;325.126;193
m2,2Gm;326.1464;180
ms2m6A;328.1079;196
m2,7Gm;328.1621;180
m2,2,7G;328.1621;194
mcm5Um;331.1141;185
cmnm5U;332.1094;239,257,209,125,200,221
mcm5s2U;333.0756;201,169,141
mchm5U;333.0934;129,183,316,201,297
imG/imG2;336.1308;204
i6A;336.1672;204,136,148
inm5U;342.1665;210
acp3U;346.125;214,197,168
acp3Y;346.125;214
mchm5Um;347.109;201
mcmo5Um;347.2998;183,201,297,315,129
cmnm5s2U;348.0865;255,273,141,216,237,225
acp3D;348.1407;216
mimG;350.1464;218
inm5Um;356.1821;210
inm5s2U;358.1436;226
m1acp3Y;360.1407;228
g6A;369.1158;237
tm5U;382.092;250
tm5s2U;398.0692;266
Q;410.1675;295,163
t6A;413.1421;281
yW-86;423.1628;291
nm5ges2U;426.2062;294
hn6A;427.1577;295
msms2i6A;428.1425;296
ht6A;429.137;297
yW-72;437.1784;305
ms2ct6A;440.124;308
yW-58;451.1941;319
OHyWx;453.1733;321
ms2t6A;459.1298;327
OHyWy;467.189;335
ms2hn6A;473.1454;341
yW;509.1996;377
OHyW;525.1945;393
o2yW;541.1894;409
galQ/manQ;572.2204;440
