Short Name;[M+H]+;Product ions
C;244.0933;112
Y;245.0773;209,179,155
U;245.0773;113
D;247.093;115,97
m4C/m5C;258.109;126
Cm;258.109;112
m3Y;259.093;169,179,227,209
Ym;259.093;223
m3U/m5U;259.093;127
Um;259.093;113
s2C;260.0705;128
ho5C;260.0882;128
s2U/s4U;261.0545;129
ho5U;261.0723;129
m5D;261.1086;129
A;268.1046;136
I;269.0886;137
f5C;272.0882;140
m4,4C;272.1246;140
m4Cm/m5Cm;272.1246;126
m3Um/m5Um;273.1086;127
hm5C/nm5U;274.1039;142
mo5U;275.0879;143
m1A/m2A/m6A/m8A;282.1202;150
Am;282.1202;136
Im;283.1042;137
cnm5U;284.0882;152
G;284.0995;152
ac4C;286.1039;154,112
f5Cm/m4,4Cm;286.1039;140
mnm5U;288.1195;156,239,257,125,209
hm5Cm;288.1195;142
nm5s2U;290.081;158
m2,8A/m6,6A;296.1359;164
m1Am/m6Am;296.1359;150
m1Im;297.1199;151
m1G/m2G/m7G;298.1151;166
Gm;298.1151;152
ac4Cm;300.1195;154,112
mnm5s2U;304.0967;172,255,273,141
se2U;306.9997;175
ac6A;310.1151;178
m6,6Am;310.1515;164
m2,2G/preQ1;312.1308;180
m1Gm/m2Gm;312.1308;166
ncm5Um;316.1144;170,153,125
chm5U/cmo5U;319.0777;187,169,141
G+;325.126;193
m2,2Gm;326.1464;180
ms2m6A;328.1079;196
m2,7Gm;328.1621;180
mcm5Um;331.1141;185
cmnm5U;332.1094;239,257,209,125,200,221
mcmo5U;333.0934;183,201,297,315,129
imG/imG2;336.1308;204
i6A;336.1672;204,136,148
nm5se2U;338.0254;204
inm5U;342.1665;210
cmnm5Um;346.125;271,221,111,129,253,200
acp3U;346.125;214,197,168
acp3Y;346.125;214
mchm5Um;347.109;201
mcmo5Um;347.2998;183,201,297,315,129
cmnm5s2U;348.0865;255,273,141,216,237,225
acp3D;348.1407;216
mnm5se2U;350.0419;218
mimG;350.1464;218
io6A;352.1621;220
inm5Um;356.1821;210
inm5s2U;358.1436;226
m1acp3Y;360.1407;228
g6A;369.1158;237
k2C;372.1883;240
ms2i6A;382.1549;250
cmnm5se2U;394.0317;262
ct6A;395.1315;263
ges2U;397.1797;265
ms2io6A;398.1498;266
Q;410.1675;295,163
t6A;413.1421;281
oQ;426.1625;295,163
nm5ges2U;426.2062;294
hn6A/m6t6A;427.1577;295
msms2i6A;428.1425;296
ms2ct6A;440.124;308
mnm5ges2U;440.2219;308
OHyWx;453.1733;321
ms2t6A;459.1298;327
OHyWy;467.189;335
ms2hn6A;473.1454;341
cmnm5ges2U;484.2117;352
OHyW;525.1945;393
gluQ;539.2101;407
o2yW;541.1894;409
