Modification,Observed MS (Da),Theoretical MS (Da),Observed MS/MS (Da),Theoretical MS/MS (Da),Score (%),Detection time (s)
C,244.0933,244.0928,112.05079,112.050538,100,959.703
Cm,258.1079,258.1084,112.05057,112.050538,22.59,975.819
m3C/m4C/m5C,258.1079,258.1084,126.06634,126.066188,33.6,978.505
m1G/m2G/m7G,298.1136,298.1146,166.0726,166.072336,100,981.19
m1A/m2A/m6A/m8A,282.1189,282.1197,150.0776,150.077422,100,981.469
A,268.1053,268.104,136.06332,136.061772,100,991.932
"m2,2G/m2,7G/preQ1",312.1292,312.1302,180.08824,180.087986,100,1236.39
yW,509.1937,509.1991,377.15438,377.156794,100,1239.07
m1G/m2G/m7G,298.1137,298.1146,166.07272,166.072336,100,1265.93
cnm5U,284.0981,284.0877,152.05712,152.045453,100,1327.72
G,284.0981,284.0989,152.05712,152.056686,100,1327.72
Gm,298.1136,298.1146,152.05691,152.056686,100,1359.95
